A
Abstracts	Abstr.
Academy	Acad.
Accelerator	Accel.
Acoustics	Acoust.
Active	Act.
Administration	Admin.
Administrative	Administ.
Advanced	Adv.
Aeronautics	Aeronaut.
Aerospace	Aerosp.
Affective	Affect.
Africa, African	Afr.
Aircraft	Aircr.
Algebraic	Algebr.
American	Amer.
Analysis	Anal.
Annals	Ann.
Annual	Annu.
Apparatus	App.
Applications	Appl.
Applied	Appl.
Approximate	Approx.
Architecture	Archit.
Archive(s)	Arch.
Article	Art.
Artificial	Artif.
Assembly	Assem.
Association	Assoc.
Astronomy	Astron.
Astronautics	Astronaut.
Astrophysics	Astrophys.
Atmosphere	Atmos.
Atomic, Atoms	At.
Australasian	Australas.
Australia	Aust.
Automatic	Autom.
Automation	Automat.
Automotive	Automot.
Autonomous	Auton.
	
B
Behavior(al)	Behav.
Belgian	Belg.
Biochemical	Biochem.
Bioinformatics	Bioinf.
Biology, Biological	Biol.
Biomedical	Biomed.
Biophysics	Biophys.
British	Brit.
Broadcasting	Broadcast.
Bulletin	Bull.
Bureau	Bur.
Business	Bus.
	
C
Canadian	Can.
Ceramic	Ceram.
Chemical	Chem.
Chinese	Chin.
Climatology	Climatol.
Clinical	Clin.
Cognitive	Cogn.
Colloquium	Colloq.
Communications	Commun.
Company	Co.
Compatibility	Compat.
Component(s)	Compon.
Computational	Comput.
Computer(s)	Comput.
Computing	Comput.
Condensed	Condens.
Conference	Conf.
Congress	Congr.
Consumer	Consum.
Conversion	Convers.
Convention	Conv.
Correspondence	Corresp.
Critical	Crit.
Crystal	Cryst.
Crystallography	Crystallogr.
Cybernetics	Cybern.
	
D
Decision	Decis.
Delivery	Del.
Department	Dept.
Design	Des.
Detector	Detect.
Development(al)	Develop.
Differential	Differ.
Digest	Dig.
Digital	Digit.
Disclosure	Discl.
Discussions	Discuss.
Dissertations	Diss.
Distributed	Distrib.
Dynamics	Dyn.
	
E
Earthquake	Earthq.
Economic(s)	Econ.
Edition	Ed.
Education	Educ.
Electrical	Elect.
Electrification	Electrific.
Electromagnetic	Electromagn.
Electroacoustic	Electroacoust.
Electronic	Electron.
Emerging	Emerg.
Engineering	Eng.
Environment	Environ.
Equations	Equ.
Equipment	Equip.
Ergonomics	Ergonom.
European	Eur.
Evaluation	Eval.
Evolutionary	Evol.
Exhibition	Exhib.
Experimental	Exp.
Exploratory	Explor.
Exposition	Expo.
Express	Exp.
	
F
Fabrication	Fabr.
Faculty	Fac.
Ferroelectrics	Ferroelect.
Francais, French	Fr.
Frequency	Freq.
Foundation	Found.
Fundamental	Fundam.
	
G
Generation	Gener.
Geology	Geol.
Geophysics	Geophys.
Geoscience	Geosci.
Graphics	Graph.
Guidance	Guid.
	
H
Harmonic(s)	Harmon.
History	Hist.
Horizon	Horiz.
Hungary, Hungarian	Hung.
Hydraulics	Hydraul.
Hydrology	Hydrol.
	
I
Illuminating	Illum.
Imaging	Imag.
Industrial	Ind.
Information	Inf.
Informatics	Inform.
Innovation	Innov.
Institute	Inst.
Instrument	Instrum.
Instrumentation	Instrum.
Insulation	Insul.
Integrated	Integr.
Intelligence	Intell.
Intelligent	Intell.
Interactions	Interact.
International	Int.
Isotopes	Isot.
Israel	Isr.
	
J
Japan	Jpn.
Journal	J.
	
K
Knowledge	Knowl.
	
L
Laboratory(ies)	Lab.
Language	Lang.
Learning	Learn.
Letter(s)	Lett.
Lightwave	Lightw.
Logic, Logical	Log.
Luminescence	Lumin.
	
M
Machine	Mach.
Magazine	Mag.
Magnetics	Magn.
Management	Manage.
Managing	Manag.
Manufacturing	Manuf.
Marine	Mar.
Material	Mater.
Mathematical	Math.
Mathematics	Math.
Measurement	Meas.
Mechanical	Mech.
Medical, Medicine	Med.
Metals	Met.
Metallurgy	Metall.
Meteorology	Meteorol.
Metropolitan	Metrop.
Mexican, Mexico	Mex.
Microelectromechanical	Microelectromech.
Microgravity	Microgr.
Microscopy	Microsc.
Microwave(s)	Microw.
Military	Mil.
Modeling	Model.
Molecular	Mol.
Monitoring	Monit.
Multiphysics	Multiphys.
	
N
Nanobioscience	Nanobiosci.
Nanotechnology	Nanotechnol.
National	Nat.
Naval	Nav.
Navigation	Navig.
Network, Networking	Netw.
Newsletter	Newslett.
Nondestructive	Nondestruct.
Nuclear	Nucl.
Numerical	Numer.
	
O
Observations	Observ.
Oceanic	Ocean.
Oceanography	Oceanogr.
Occupation	Occupat.
Operational	Oper.
Optical	Opt.
Optics	Opt.
Optimization	Optim.
Organization	Org.
	
P
Packaging	Packag.
Particle	Part.
Patent	Pat.
Performance	Perform.
Personal	Pers.
Philosophical	Philos.
Photonics	Photon.
Photovoltaics	Photovolt.
Physics	Phys.
Physiology	Physiol.
Planetary	Planet.
Pneumatics	Pneum.
Pollution	Pollut.
Polymer	Polym.
Polytechnic	Polytech.
Practice	Pract.
Precision	Precis.
Principles	Princ.
Proceedings	Proc.
Processing	Process.
Production	Prod.
Productivity	Productiv.
Programmable	Program.
Programming	Program.
Progress	Prog.
Propagation	Propag.
Psychology	Psychol.
	
Q
Quality	Qual.
Quarterly	Quart.
	
R
Radiation	Radiat.
Radiology	Radiol.
Reactor	React.
Receivers	Receiv.
Recognition	Recognit.
Record	Rec.
Rehabilitation	Rehabil.
Reliability	Rel.
Report	Rep.
Research	Res.
Resonance	Reson.
Resources	Resour.
Review	Rev.
Robotics	Robot.
Royal	Roy.
	
S
Safety	Saf.
Satellite	Satell.
Scandinavian	Scand.
Science	Sci.
Section	Sect.
Security	Secur.
Seismology	Seismol.
Selected	Sel.
Semiconductor	Semicond.
Sensing	Sens.
Series	Ser.
Simulation	Simul.
Singapore	Singap.
Sistema	Sist.
Society	Soc.
Sociological	Sociol.
Software	Softw.
Solar	Sol.
Soviet	Sov.
Spectroscopy	Spectrosc.
Spectrum	Spectr.
Speculations	Specul.
Statistics	Statist.
Structure	Struct.
Studies	Stud.
Superconductivity	Supercond.
Supplement	Suppl.
Surface	Surf.
Survey	Surv.
Sustainable	Sustain.
Symposium	Symp.
Systems	Syst.
	
T
Technical	Tech.
Techniques	Techn.
Technology	Technol.
Telecommunications	Telecommun.
Television	Telev.
Temperature	Temp.
Terrestrial	Terr.
Theorem	Thm.
Theoretical	Theor.
Transactions	Trans.
Translation	Transl.
Transmission	Transmiss.
Transportation	Transp.
Tutorials	Tut.
	
U
Ultrasonic	Ultrason.
University	Univ.
	
V
Vacuum	Vac.
Vehicular	Veh.
Vibration	Vib.
Vision	Vis.
Visual	Vis.
Volume	Vol.
	
W
Welding	Weld.
Working	Work.

 
 
